node_id,in_degree,out_degree,total_degree,undirected_degree
1331,28,28,56,28
1332,71,71,142,71
1333,42,42,84,42
1334,246,246,492,246
1335,16,16,32,16
1336,9,9,18,9
1337,45,45,90,45
1338,71,71,142,71
1339,29,29,58,29
1340,170,170,340,170
1341,145,145,290,145
1343,6,6,12,6
1344,10,10,20,10
1345,10,10,20,10
1346,8,8,16,8
1347,7,7,14,7
1350,68,68,136,68
1351,11,11,22,11
1352,15,15,30,15
1354,60,60,120,60
1355,38,38,76,38
1356,9,9,18,9
1357,38,38,76,38
1359,27,27,54,27
1360,39,39,78,39
1361,41,41,82,41
1362,35,35,70,35
1363,17,17,34,17
1364,20,20,40,20
1365,99,99,198,99
1366,67,67,134,67
1367,112,112,224,112
1368,97,97,194,97
1369,5,5,10,5
1370,10,10,20,10
1371,280,280,560,280
1372,12,12,24,12
1373,90,90,180,90
1375,27,27,54,27
